Rank,Model,# Params,Submission,Under 10M Resolution,Spacenet2,Treesatai,Flair2,Dynamic_Earthnet,Spacenet7,Everwatch,Nzcattle
1,ConvNext-XLarge-ImageNet,390M,114be1f0,86.9 ± 0.1,85.8 ± 0.8,84.2 ± 2.1,65.7 ± 1.8,73.4 ± 1.8,91.5 ± 1.7,96.6 ± 1.3,96.5 ± 1.6
2,DinoV3-ConvNext-Large-WEB,230M,114be1f0,80.1 ± 0.1,95.3 ± 1.1,92.5 ± 2.5,80.6 ± 2.1,28.3 ± 0.5,92.5 ± 0.3,52.4 ± 1.3,75.0 ± 1.0
3,DinoV3-ViT-L-SAT,300M,114be1f0,77.8 ± 0.2,73.4 ± 0.7,93.7 ± 2.5,98.5 ± 0.3,74.5 ± 9.6,89.2 ± 0.6,36.1 ± 0.9,57.3 ± 0.5
4,ConvNext-Large-ImageNet,230M,114be1f0,77.0 ± 0.1,81.1 ± 0.6,86.0 ± 2.1,71.7 ± 1.0,44.2 ± 10.5,87.1 ± 1.2,59.7 ± 1.8,82.0 ± 1.0
5,DOFA-ViT 300M,300M,114be1f0,62.7 ± 0.2,64.6 ± 1.3,78.4 ± 0.2,83.2 ± 0.7,40.1 ± 5.2,76.0 ± 1.0,20.0 ± 2.9,44.0 ± 1.2
6,DOFA-ViT 300M,300M,2ce4a907,62.7 ± 0.2,64.6 ± 1.3,78.4 ± 0.2,83.2 ± 0.7,40.1 ± 5.2,76.0 ± 1.0,20.0 ± 2.9,44.0 ± 1.2
7,Clay-V1 ViT-B,100M,114be1f0,60.7 ± 0.2,65.8 ± 1.3,69.4 ± 0.8,65.6 ± 0.3,49.8 ± 4.5,96.9 ± 1.0,43.5 ± 1.6,49.5 ± 1.0
8,Clay-V1 ViT-B,100M,2ce4a907,60.7 ± 0.2,65.8 ± 1.3,69.4 ± 0.8,65.6 ± 0.3,49.8 ± 4.5,96.9 ± 1.0,43.5 ± 1.6,49.5 ± 1.0
9,TerraMind-V1-Large,300M,114be1f0,55.7 ± 0.1,64.3 ± 1.6,50.6 ± 1.0,42.6 ± 2.7,96.2 ± 1.6,76.9 ± 1.1,30.7 ± 2.6,48.9 ± 0.6
10,TerraMind-V1-Large,300M,2ce4a907,55.7 ± 0.1,64.3 ± 1.6,50.6 ± 1.0,42.6 ± 2.7,96.2 ± 1.6,76.9 ± 1.1,30.7 ± 2.6,48.9 ± 0.6
11,Satlas-SwinB-Naip,100M,114be1f0,53.4 ± 0.1,49.2 ± 2.5,42.4 ± 1.2,59.0 ± 1.2,5.6 ± 3.6,84.6 ± 0.4,51.0 ± 1.0,69.3 ± 1.3
12,Satlas-Swin 100M,100M,114be1f0,50.8 ± 0.2,41.5 ± 0.6,47.8 ± 1.3,40.7 ± 0.9,50.8 ± 2.8,84.8 ± 0.4,43.1 ± 4.0,66.9 ± 0.6
13,Prithvi-EO-V2 600M TL,600M,114be1f0,47.8 ± 0.1,76.3 ± 0.5,52.3 ± 1.3,40.7 ± 1.0,30.8 ± 2.3,90.4 ± 0.9,44.1 ± 0.8,4.6 ± 1.7
14,Prithvi-EO-V2 300M TL,300M,114be1f0,43.8 ± 0.2,61.8 ± 0.3,35.0 ± 1.9,32.9 ± 3.0,41.7 ± 3.1,81.4 ± 0.1,29.5 ± 1.1,52.6 ± 2.4
15,TerraMind-V1-Base,100M,114be1f0,42.1 ± 0.1,41.0 ± 1.8,39.8 ± 0.9,40.5 ± 0.2,34.1 ± 11.8,75.4 ± 0.7,28.2 ± 2.1,45.7 ± 1.3
16,Resnet50-ImageNet,25M,114be1f0,36.1 ± 0.1,52.8 ± 1.4,28.7 ± 3.4,42.6 ± 2.3,23.2 ± 1.9,81.5 ± 0.3,21.6 ± 1.1,28.9 ± 1.3
17,Resnet50-DeCUR,25M,114be1f0,24.3 ± 0.1,3.3 ± 1.6,20.8 ± 4.9,18.7 ± 0.6,54.7 ± 0.9,72.8 ± 1.0,3.9 ± 2.3,30.7 ± 0.9
